Name,Color,Current price,Price with citilink card,Product code,Url
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,78 990,78 890,82K201D1RK,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd256gb-rtx-3050-1595005/
Ультрабук Honor MagicBook  X14,серый,44 990,44 890,5301AAPL,https://www.citilink.ru/product/ultrabuk-honor-magicbook-i3-10110u-8gb-ssd256gb-15-6-ips-fhd-w10h-silv-1635667/
Ноутбук Acer Aspire 3 A315-23-R5B8,серебристый,40 990,40 890,NX.HVUER.006,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5b8-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404159/
Ноутбук HP 15s-eq1138ur,серый,25 990,25 890,22V11EA,https://www.citilink.ru/product/noutbuk-hp-15s-eq1138ur-athlon-3020e-4gb-ssd128gb-15-6-ips-fhd-w10-gre-1402165/
Ноутбук Acer Nitro 5 AN515-57-51GK,черный,95 990,95 890,NH.QESER.003,https://www.citilink.ru/product/noutbuk-acer-aspire-an515-57-51gk-i5-11400h-16gb-ssd512gb-rtx-3050-ti-1618861/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,24 990,24 890,82H9003DRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd256gb-17-3-tn-hd-noos-1487469/
Ультрабук Honor MagicBook X15,серый,54 990,54 890,5301AAPN,https://www.citilink.ru/product/ultrabuk-honor-magicbook-x15-i5-10210u-8gb-ssd512gb-15-6-ips-fhd-w10h-1634207/
Ноутбук HP 15s-fq0082ur,серый,23 990,23 890,3D4V8EA,https://www.citilink.ru/product/noutbuk-hp-15s-fq0082ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-dos3-0-gre-1473317/
Ноутбук Acer Aspire 3 A315-23-R8WC,черный,37 990,37 890,NX.HVTER.01L,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r8wc-ryzen-5-3500u-4gb-ssd256gb-15-6-fhd-1404156/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,45 990,45 890,81X800BKRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd512gb-15-6-ips-fhd-n-1492045/
Ноутбук ASUS TUF Gaming A15 FA506IC-HN042W,серый,89 990,89 890,90NR0667-M008C0,https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fa506ic-hn042w-ryzen-5-4600h-8gb-ssd512gb-rtx-1654771/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,41 990,41 890,81X800BGRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-n-1492046/
Ноутбук Acer Aspire 3 A315-23-R6JR,черный,47 990,47 890,NX.HVTER.02Z,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r6jr-ryzen-5-3500u-8gb-1tb-ssd256gb-vega-1672261/
Ноутбук Acer Aspire 3 A315-56-38MN,черный,39 990,39 890,NX.HS5ER.00B,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-38mn-15-6-intel-core-i3-1005g1-1-2ggc-8g-1194671/
Ноутбук Huawei MateBook D 16,серый,79 990,79 890,53012QWM,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-16-ryzen-5-4600h-16gb-ssd512gb-16-1-ips-fhd-1686487/
Ноутбук ASUS TUF Gaming F15 FX506LH-HN197,серый,79 990,79 890,90NR03U1-M05380,https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fx506lh-hn197-15-6-intel-core-i5-10300h-2-5ggc-1473748/
Ноутбук ASUS A516EA-EJ1448,серебристый,37 990,37 890,90NB0TY2-M24060,https://www.citilink.ru/product/noutbuk-asus-a516ea-ej1448-pg-7505-8gb-ssd256gb-15-6-tn-fhd-noos-1583747/
Ультрабук Honor MagicBook,серебристый,79 990,79 890,5301ABCM,https://www.citilink.ru/product/ultrabuk-honor-magicbook-ryzen-5-5600h-16gb-ssd512gb-16-1-ips-fhd-w10-1660591/
Ноутбук IRBIS NB NB78,голубой,11 990,11 890,NB78,https://www.citilink.ru/product/noutbuk-irbis-nb-nb78-cel-j3455-4gb-500-13-3-ips-hd-w10-black-4500mah-1621918/
Ноутбук ASUS VivoBook A516MA-BQ498,серый,39 990,39 890,90NB0TH1-M10570,https://www.citilink.ru/product/noutbuk-asus-a516ma-bq299-pen-n5030-8gb-ssd256gb-15-ips-hd-noos-1497725/
Ультрабук Honor MagicBook 15,серый,69 990,69 890,53011WHD,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-5-5500u-16gb-ssd512gb-15-6-ips-fhd-w-1602659/
Ноутбук Digma EVE 15 P417,темно-серый,20 990,19 990,ES5063EW,https://www.citilink.ru/product/noutbuk-digma-eve-15-p4xx-15-6-ips-intel-pentium-j3710-4gb-128gb-ssd-i-1470838/
